experiment_name,run_name,dataset_name,run_number,parameter_type,parameter_index,true_value,estimated_value,error,probability,timestamp
cumulative_gains_study,cpp_nothing_else,small_b,1,beta,0,-2.00000000,-1.75695699,0.24304301,0.00000000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,beta,1,2.00000000,2.08183289,0.08183289,0.00000000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,0,0.00000000,0.50422222,0.50422222,0.50422222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,1,0.00000000,0.14400000,0.14400000,0.14400000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,2,0.00000000,0.23800000,0.23800000,0.23800000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,3,0.00000000,0.10422222,0.10422222,0.10422222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,4,0.00000000,0.03288889,0.03288889,0.03288889,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,5,0.00000000,0.01511111,0.01511111,0.01511111,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,6,0.00000000,0.01711111,0.01711111,0.01711111,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,7,0.00000000,0.01266667,0.01266667,0.01266667,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,8,0.00000000,0.02644444,0.02644444,0.02644444,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,9,0.00000000,0.01022222,0.01022222,0.01022222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,10,0.00000000,0.01177778,0.01177778,0.01177778,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,11,0.00000000,0.02400000,0.02400000,0.02400000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,12,0.00000000,0.17133333,0.17133333,0.17133333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,13,0.00000000,0.41022222,0.41022222,0.41022222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,14,0.00000000,0.22222222,0.22222222,0.22222222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,15,0.00000000,0.07666667,0.07666667,0.07666667,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,16,0.00000000,0.01577778,0.01577778,0.01577778,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,17,0.00000000,1.00000000,1.00000000,1.00000000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,18,0.00000000,0.00977778,0.00977778,0.00977778,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,19,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,20,0.00000000,0.00333333,0.00333333,0.00333333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,21,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,22,0.00000000,0.00777778,0.00777778,0.00777778,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,23,1.00000000,0.00711111,0.99288889,0.00711111,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,24,0.00000000,0.57266667,0.57266667,0.57266667,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,25,0.00000000,0.25533333,0.25533333,0.25533333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,26,0.00000000,0.08555556,0.08555556,0.08555556,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,27,0.00000000,0.04800000,0.04800000,0.04800000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,28,0.00000000,0.03466667,0.03466667,0.03466667,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,29,0.00000000,0.02111111,0.02111111,0.02111111,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,30,0.00000000,0.02977778,0.02977778,0.02977778,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,31,0.00000000,0.01022222,0.01022222,0.01022222,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,32,0.00000000,0.01511111,0.01511111,0.01511111,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,33,0.00000000,0.00955556,0.00955556,0.00955556,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,34,0.00000000,0.00955556,0.00955556,0.00955556,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,35,0.00000000,0.02155556,0.02155556,0.02155556,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,36,0.00000000,0.86333333,0.86333333,0.86333333,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,37,0.00000000,0.09600000,0.09600000,0.09600000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,38,0.00000000,0.04155556,0.04155556,0.04155556,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,39,0.00000000,0.01600000,0.01600000,0.01600000,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,40,0.00000000,0.01844444,0.01844444,0.01844444,2025-08-18 19:25:24
cumulative_gains_study,cpp_nothing_else,small_b,1,break_indicator,41,0.00000000,0.02133333,0.02133333,0.02133333,2025-08-18 19:25:24
