experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
multithreading,1-core,large_b,1,99657.523,20,35,6,2025-08-19 12:33:53
multithreading,1-core,large_b,2,94929.981,20,35,6,2025-08-19 12:35:28
multithreading,1-core,large_b,3,97511.854,20,35,6,2025-08-19 12:37:06
multithreading,2-core,large_b,1,60795.146,20,35,6,2025-08-19 12:41:16
multithreading,2-core,large_b,2,61183.768,20,35,6,2025-08-19 12:42:18
multithreading,2-core,large_b,3,60653.375,20,35,6,2025-08-19 12:43:18
multithreading,3-core,large_b,1,46278.783,20,35,6,2025-08-19 12:52:08
multithreading,3-core,large_b,2,45319.599,20,35,6,2025-08-19 12:52:53
multithreading,3-core,large_b,3,46425.989,20,35,6,2025-08-19 12:53:40
multithreading,4-core,large_b,1,37498.259,20,35,6,2025-08-19 12:57:14
multithreading,4-core,large_b,2,37420.625,20,35,6,2025-08-19 12:57:52
multithreading,4-core,large_b,3,37766.067,20,35,6,2025-08-19 12:58:30
multithreading,5-core,large_b,1,33651.988,20,35,6,2025-08-19 13:00:15
multithreading,5-core,large_b,2,33093.371,20,35,6,2025-08-19 13:00:48
multithreading,5-core,large_b,3,32920.871,20,35,6,2025-08-19 13:01:21
multithreading,6-core,large_b,1,30890.449,20,35,6,2025-08-19 13:02:57
multithreading,6-core,large_b,2,30637.220,20,35,6,2025-08-19 13:03:27
multithreading,6-core,large_b,3,29920.095,20,35,6,2025-08-19 13:03:57
multithreading,7-core,large_b,1,30522.320,20,35,6,2025-08-19 13:19:44
multithreading,7-core,large_b,2,30273.552,20,35,6,2025-08-19 13:20:14
multithreading,7-core,large_b,3,31054.376,20,35,6,2025-08-19 13:20:45
multithreading,8-core,large_b,1,29247.195,20,35,6,2025-08-19 13:22:17
multithreading,8-core,large_b,2,28805.293,20,35,6,2025-08-19 13:22:46
multithreading,8-core,large_b,3,29023.464,20,35,6,2025-08-19 13:23:15
multithreading,9-core,large_b,1,31928.072,20,35,6,2025-08-19 13:24:52
multithreading,9-core,large_b,2,30503.369,20,35,6,2025-08-19 13:25:23
multithreading,9-core,large_b,3,31241.410,20,35,6,2025-08-19 13:25:54
multithreading,10-core,large_b,1,32772.883,20,35,6,2025-08-19 13:27:47
multithreading,10-core,large_b,2,32112.763,20,35,6,2025-08-19 13:28:19
multithreading,10-core,large_b,3,32085.585,20,35,6,2025-08-19 13:28:52
multithreading,11-core,large_b,1,35167.048,20,35,6,2025-08-19 13:30:39
multithreading,11-core,large_b,2,34842.263,20,35,6,2025-08-19 13:31:14
multithreading,11-core,large_b,3,34320.863,20,35,6,2025-08-19 13:31:48
multithreading,12-core,large_b,1,35437.559,20,35,6,2025-08-19 13:33:34
multithreading,12-core,large_b,2,35571.822,20,35,6,2025-08-19 13:34:09
multithreading,12-core,large_b,3,34672.214,20,35,6,2025-08-19 13:34:44
multithreading,13-core,large_b,1,37029.177,20,35,6,2025-08-19 13:36:24
multithreading,13-core,large_b,2,36805.095,20,35,6,2025-08-19 13:37:01
multithreading,13-core,large_b,3,36646.230,20,35,6,2025-08-19 13:37:37
multithreading,14-core,large_b,1,38251.089,20,35,6,2025-08-19 13:39:14
multithreading,14-core,large_b,2,36649.439,20,35,6,2025-08-19 13:39:51
multithreading,14-core,large_b,3,36647.570,20,35,6,2025-08-19 13:40:28
multithreading,15-core,large_b,1,37592.723,20,35,6,2025-08-19 13:42:10
multithreading,15-core,large_b,2,37942.940,20,35,6,2025-08-19 13:42:47
multithreading,15-core,large_b,3,37329.280,20,35,6,2025-08-19 13:43:25
multithreading,16-core,large_b,1,39405.442,20,35,6,2025-08-19 13:45:12
multithreading,16-core,large_b,2,43276.432,20,35,6,2025-08-19 13:45:56
multithreading,16-core,large_b,3,44733.321,20,35,6,2025-08-19 13:46:40
multithreading,17-core,large_b,1,36586.805,20,35,6,2025-08-19 13:48:31
multithreading,17-core,large_b,2,35243.650,20,35,6,2025-08-19 13:49:06
multithreading,17-core,large_b,3,35936.310,20,35,6,2025-08-19 13:49:42
multithreading,18-core,large_b,1,36278.052,20,35,6,2025-08-19 13:51:30
multithreading,18-core,large_b,2,35880.783,20,35,6,2025-08-19 13:52:06
multithreading,18-core,large_b,3,36141.161,20,35,6,2025-08-19 13:52:42
multithreading,19-core,large_b,1,36649.003,20,35,6,2025-08-19 13:54:22
multithreading,19-core,large_b,2,35902.063,20,35,6,2025-08-19 13:54:58
multithreading,19-core,large_b,3,37196.717,20,35,6,2025-08-19 13:55:35
multithreading,20-core,large_b,1,35257.297,20,35,6,2025-08-19 13:59:54
multithreading,20-core,large_b,2,35393.270,20,35,6,2025-08-19 14:00:29
multithreading,20-core,large_b,3,35791.088,20,35,6,2025-08-19 14:01:05
