experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
root_finder_step_size,jenkins_050,rootfind_stepsize_050,1,25032.422,10,30,3,2025-08-20 14:15:37
root_finder_step_size,jenkins_050,rootfind_stepsize_050,2,24307.545,10,30,3,2025-08-20 14:16:01
root_finder_step_size,jenkins_050,rootfind_stepsize_050,3,23960.890,10,30,3,2025-08-20 14:16:25
root_finder_step_size,jenkins_050,rootfind_stepsize_050,4,23946.097,10,30,3,2025-08-20 14:16:49
root_finder_step_size,jenkins_050,rootfind_stepsize_050,5,23727.035,10,30,3,2025-08-20 14:17:12
root_finder_step_size,jenkins_050,rootfind_stepsize_050,6,23400.108,10,30,3,2025-08-20 14:17:36
root_finder_step_size,jenkins_050,rootfind_stepsize_050,7,23809.193,10,30,3,2025-08-20 14:18:00
root_finder_step_size,jenkins_050,rootfind_stepsize_050,8,24315.918,10,30,3,2025-08-20 14:18:24
root_finder_step_size,jenkins_050,rootfind_stepsize_050,9,23921.792,10,30,3,2025-08-20 14:18:48
root_finder_step_size,jenkins_050,rootfind_stepsize_050,10,23397.108,10,30,3,2025-08-20 14:19:11
root_finder_step_size,jenkins_075,rootfind_stepsize_075,1,27400.771,10,30,3,2025-08-20 14:22:29
root_finder_step_size,jenkins_075,rootfind_stepsize_075,2,26750.366,10,30,3,2025-08-20 14:22:56
root_finder_step_size,jenkins_075,rootfind_stepsize_075,3,25932.075,10,30,3,2025-08-20 14:23:22
root_finder_step_size,jenkins_075,rootfind_stepsize_075,4,26140.086,10,30,3,2025-08-20 14:23:48
root_finder_step_size,jenkins_075,rootfind_stepsize_075,5,25832.750,10,30,3,2025-08-20 14:24:14
root_finder_step_size,jenkins_075,rootfind_stepsize_075,6,26142.596,10,30,3,2025-08-20 14:24:40
root_finder_step_size,jenkins_075,rootfind_stepsize_075,7,25210.508,10,30,3,2025-08-20 14:25:05
root_finder_step_size,jenkins_075,rootfind_stepsize_075,8,26324.085,10,30,3,2025-08-20 14:25:31
root_finder_step_size,jenkins_075,rootfind_stepsize_075,9,25980.933,10,30,3,2025-08-20 14:25:57
root_finder_step_size,jenkins_075,rootfind_stepsize_075,10,25868.161,10,30,3,2025-08-20 14:26:23
root_finder_step_size,jenkins_100,rootfind_stepsize_100,1,31353.526,10,30,3,2025-08-20 14:28:38
root_finder_step_size,jenkins_100,rootfind_stepsize_100,2,30252.014,10,30,3,2025-08-20 14:29:08
root_finder_step_size,jenkins_100,rootfind_stepsize_100,3,32110.800,10,30,3,2025-08-20 14:29:41
root_finder_step_size,jenkins_100,rootfind_stepsize_100,4,31182.524,10,30,3,2025-08-20 14:30:12
root_finder_step_size,jenkins_100,rootfind_stepsize_100,5,31611.401,10,30,3,2025-08-20 14:30:43
root_finder_step_size,jenkins_100,rootfind_stepsize_100,6,31501.005,10,30,3,2025-08-20 14:31:15
root_finder_step_size,jenkins_100,rootfind_stepsize_100,7,31585.472,10,30,3,2025-08-20 14:31:46
root_finder_step_size,jenkins_100,rootfind_stepsize_100,8,30485.399,10,30,3,2025-08-20 14:32:17
root_finder_step_size,jenkins_100,rootfind_stepsize_100,9,30678.034,10,30,3,2025-08-20 14:32:48
root_finder_step_size,jenkins_100,rootfind_stepsize_100,10,31504.273,10,30,3,2025-08-20 14:33:19
root_finder_step_size,jenkins_150,rootfind_stepsize_150,1,29308.917,10,30,3,2025-08-20 14:35:22
root_finder_step_size,jenkins_150,rootfind_stepsize_150,2,28648.687,10,30,3,2025-08-20 14:35:51
root_finder_step_size,jenkins_150,rootfind_stepsize_150,3,29042.120,10,30,3,2025-08-20 14:36:20
root_finder_step_size,jenkins_150,rootfind_stepsize_150,4,28449.456,10,30,3,2025-08-20 14:36:48
root_finder_step_size,jenkins_150,rootfind_stepsize_150,5,28538.316,10,30,3,2025-08-20 14:37:17
root_finder_step_size,jenkins_150,rootfind_stepsize_150,6,28259.575,10,30,3,2025-08-20 14:37:45
root_finder_step_size,jenkins_150,rootfind_stepsize_150,7,30493.472,10,30,3,2025-08-20 14:38:16
root_finder_step_size,jenkins_150,rootfind_stepsize_150,8,29719.834,10,30,3,2025-08-20 14:38:45
root_finder_step_size,jenkins_150,rootfind_stepsize_150,9,27428.158,10,30,3,2025-08-20 14:39:13
root_finder_step_size,jenkins_150,rootfind_stepsize_150,10,27621.400,10,30,3,2025-08-20 14:39:40
root_finder_step_size,jenkins_300,rootfind_stepsize_300,1,38089.876,10,30,3,2025-08-20 14:47:03
root_finder_step_size,jenkins_300,rootfind_stepsize_300,2,35515.026,10,30,3,2025-08-20 14:47:39
root_finder_step_size,jenkins_300,rootfind_stepsize_300,3,37026.753,10,30,3,2025-08-20 14:48:16
root_finder_step_size,jenkins_300,rootfind_stepsize_300,4,34690.090,10,30,3,2025-08-20 14:48:50
root_finder_step_size,jenkins_300,rootfind_stepsize_300,5,35505.618,10,30,3,2025-08-20 14:49:26
root_finder_step_size,jenkins_300,rootfind_stepsize_300,6,35263.785,10,30,3,2025-08-20 14:50:01
root_finder_step_size,jenkins_300,rootfind_stepsize_300,7,35383.587,10,30,3,2025-08-20 14:50:36
root_finder_step_size,jenkins_300,rootfind_stepsize_300,8,34958.723,10,30,3,2025-08-20 14:51:11
root_finder_step_size,jenkins_300,rootfind_stepsize_300,9,34730.130,10,30,3,2025-08-20 14:51:46
root_finder_step_size,jenkins_300,rootfind_stepsize_300,10,34256.771,10,30,3,2025-08-20 14:52:20
