experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
step_size_fixed,aberth_050,rootfind_stepsize_050,1,4907.638,10,30,3,2025-08-21 19:22:56
step_size_fixed,aberth_050,rootfind_stepsize_050,2,3699.954,10,30,3,2025-08-21 19:23:00
step_size_fixed,aberth_050,rootfind_stepsize_050,3,3738.903,10,30,3,2025-08-21 19:23:04
step_size_fixed,aberth_050,rootfind_stepsize_050,4,3724.410,10,30,3,2025-08-21 19:23:08
step_size_fixed,aberth_050,rootfind_stepsize_050,5,3469.985,10,30,3,2025-08-21 19:23:11
step_size_fixed,aberth_050,rootfind_stepsize_050,6,3700.629,10,30,3,2025-08-21 19:23:15
step_size_fixed,aberth_050,rootfind_stepsize_050,7,3519.352,10,30,3,2025-08-21 19:23:18
step_size_fixed,aberth_050,rootfind_stepsize_050,8,3485.545,10,30,3,2025-08-21 19:23:22
step_size_fixed,aberth_050,rootfind_stepsize_050,9,3526.913,10,30,3,2025-08-21 19:23:25
step_size_fixed,aberth_050,rootfind_stepsize_050,10,3441.886,10,30,3,2025-08-21 19:23:29
step_size_fixed,aberth_050,rootfind_stepsize_050,11,3399.600,10,30,3,2025-08-21 19:23:32
step_size_fixed,aberth_050,rootfind_stepsize_050,12,3390.979,10,30,3,2025-08-21 19:23:36
step_size_fixed,aberth_050,rootfind_stepsize_050,13,3399.695,10,30,3,2025-08-21 19:23:39
step_size_fixed,aberth_050,rootfind_stepsize_050,14,3423.907,10,30,3,2025-08-21 19:23:42
step_size_fixed,aberth_050,rootfind_stepsize_050,15,3409.844,10,30,3,2025-08-21 19:23:46
step_size_fixed,aberth_050,rootfind_stepsize_050,16,3409.536,10,30,3,2025-08-21 19:23:49
step_size_fixed,aberth_050,rootfind_stepsize_050,17,3417.378,10,30,3,2025-08-21 19:23:53
step_size_fixed,aberth_050,rootfind_stepsize_050,18,3447.589,10,30,3,2025-08-21 19:23:56
step_size_fixed,aberth_050,rootfind_stepsize_050,19,3394.751,10,30,3,2025-08-21 19:23:59
step_size_fixed,aberth_050,rootfind_stepsize_050,20,3417.543,10,30,3,2025-08-21 19:24:03
step_size_fixed,aberth_075,rootfind_stepsize_075,1,4696.390,10,30,3,2025-08-21 19:24:18
step_size_fixed,aberth_075,rootfind_stepsize_075,2,3586.217,10,30,3,2025-08-21 19:24:22
step_size_fixed,aberth_075,rootfind_stepsize_075,3,3510.393,10,30,3,2025-08-21 19:24:25
step_size_fixed,aberth_075,rootfind_stepsize_075,4,3507.000,10,30,3,2025-08-21 19:24:29
step_size_fixed,aberth_075,rootfind_stepsize_075,5,3563.625,10,30,3,2025-08-21 19:24:32
step_size_fixed,aberth_075,rootfind_stepsize_075,6,3648.385,10,30,3,2025-08-21 19:24:36
step_size_fixed,aberth_075,rootfind_stepsize_075,7,3573.217,10,30,3,2025-08-21 19:24:39
step_size_fixed,aberth_075,rootfind_stepsize_075,8,3567.168,10,30,3,2025-08-21 19:24:43
step_size_fixed,aberth_075,rootfind_stepsize_075,9,3526.167,10,30,3,2025-08-21 19:24:46
step_size_fixed,aberth_075,rootfind_stepsize_075,10,3615.657,10,30,3,2025-08-21 19:24:50
